dataset,experiment,success,latency_ms
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,31.68
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,22.01
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,18.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,19.61
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,18.91
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,40.12
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,20.9
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,23.7
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,19.91
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,31.76
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.01
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,20.11
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,21.61
HotpotQA,ingest,True,19.81
HotpotQA,ingest,True,19.81
